value;posProb;negProb;overallProb
0;-1.8949437054632858;-1.6622709517848657;-1.6952814742729077
-1;-6.416732282512326;-1.8145507236763123;-1.9838976897164855
1;-3.5263605246161616;-3.6660006717290052;-3.6510439197712325
2;-1.6893444637999855;-2.4691963568816817;-2.3000176974888
3;-2.9509963797125995;-3.0279132683520875;-3.019140364452006
4;-0.5418015516602955;-0.7159384350082026;-0.6854646843879291
