value;posProb;negProb;overallProb
1;0.5155709342560554;0.6001247660636307;0.5872093023255814
33;0.0;3.1191515907673113E-4;2.642706131078224E-4
2;0.22837370242214533;0.16968184653774174;0.17864693446088795
3;0.11245674740484429;0.08452900810979413;0.08879492600422834
35;0.0;3.1191515907673113E-4;2.642706131078224E-4
4;0.07439446366782007;0.049906425452276984;0.053646934460887946
5;0.025951557093425604;0.02776044915782907;0.02748414376321353
6;0.01384083044982699;0.019026824703680598;0.018234672304439745
7;0.012110726643598616;0.018091079226450407;0.017177589852008457
8;0.006920415224913495;0.009981285090455396;0.009513742071881607
9;0.0017301038062283738;0.005926388022457892;0.005285412262156448
10;0.0017301038062283738;0.0028072364316905803;0.002642706131078224
11;0.006920415224913495;0.0034310667498440423;0.003964059196617336
12;0.0;0.0015595757953836558;0.001321353065539112
13;0.0;0.0012476606363069245;0.0010570824524312897
14;0.0;0.0015595757953836558;0.001321353065539112
15;0.0;9.357454772301934E-4;7.928118393234672E-4
16;0.0;9.357454772301934E-4;7.928118393234672E-4
17;0.0;0.0012476606363069245;0.0010570824524312897
18;0.0;3.1191515907673113E-4;2.642706131078224E-4
20;0.0;3.1191515907673113E-4;2.642706131078224E-4
