value;posProb;negProb;overallProb
0;0.012110726643598616;0.011852776044915784;0.011892177589852008
1;0.0328719723183391;0.03025577043044292;0.0306553911205074
2;0.03633217993079585;0.04772301933873986;0.0459830866807611
3;0.07612456747404844;0.0651902682470368;0.06686046511627906
4;0.06401384083044982;0.06425452276980662;0.06421775898520085
5;0.08823529411764706;0.07080474111041797;0.07346723044397463
6;0.1522491349480969;0.08047411104179664;0.09143763213530655
7;0.0986159169550173;0.06924516531503432;0.07373150105708245
8;0.029411764705882353;0.0470991890205864;0.04439746300211417
9;0.025951557093425604;0.07423580786026202;0.06686046511627906
10;0.2179930795847751;0.24173424828446663;0.238107822410148
11;0.16608996539792387;0.19713038053649407;0.19238900634249473
