value;posProb;negProb;overallProb
0;0.39792387543252594;0.5845290081097941;0.5560253699788583
1;0.5363321799307958;0.31160324391765437;0.34593023255813954
2;0.05536332179930796;0.06737367436057393;0.06553911205073996
3;0.00865051903114187;0.024329382407985028;0.02193446088794926
4;0.0017301038062283738;0.005926388022457892;0.005285412262156448
5;0.0;0.0031191515907673115;0.002642706131078224
6;0.0;0.0015595757953836558;0.001321353065539112
7;0.0;6.238303181534623E-4;5.285412262156448E-4
9;0.0;9.357454772301934E-4;7.928118393234672E-4
