value;posProb;negProb;overallProb
1;0.773356401384083;0.7710542732376794;0.7714059196617337
2;0.1384083044982699;0.12694946974422958;0.1286997885835095
3;0.0657439446366782;0.05271366188396756;0.05470401691331924
4;0.01903114186851211;0.034310667498440424;0.03197674418604651
5;0.0017301038062283738;0.009669369931378666;0.008456659619450317
6;0.0017301038062283738;0.0037429819089207735;0.003435517970401691
7;0.0;9.357454772301934E-4;7.928118393234672E-4
8;0.0;6.238303181534623E-4;5.285412262156448E-4
