value;posProb;negProb;overallProb
0;-0.8604993722457395;-0.4082111052570201;-0.46630676736440946
1;-0.6577167435804449;-1.2751007993935715;-1.1492560214868646
2;-2.8870984325511957;-3.1403812140487757;-3.1008641916568154
3;-5.720311776607412;-4.382636204945729;-4.527980547296962
