value;posProb;negProb;overallProb
0;0.0372168284789644;0.16899696048632218;0.14835728952772073
16;0.0016181229773462784;0.0012158054711246201;0.001026694045174538
1;0.3673139158576052;0.3413373860182371;0.34625256673511295
2;0.35760517799352753;0.31458966565349544;0.3221252566735113
3;0.19579288025889968;0.1480243161094225;0.15580082135523615
4;0.022653721682847898;0.014285714285714285;0.015400410677618069
5;0.008090614886731391;0.00547112462006079;0.005646817248459959
6;0.003236245954692557;0.0012158054711246201;0.0012833675564681724
7;0.0016181229773462784;6.079027355623101E-4;5.13347022587269E-4
11;0.0016181229773462784;0.00303951367781155;0.002566735112936345
12;0.0016181229773462784;6.079027355623101E-4;5.13347022587269E-4
30;0.0016181229773462784;6.079027355623101E-4;5.13347022587269E-4
