value;posProb;negProb;overallProb
1;0.0334855403348554;0.14508861519975969;0.1280813214739517
2;0.0350076103500761;0.05106638630219285;0.04879288437102922
3;0.015220700152207;0.04565935716431361;0.040914866581956796
4;0.0106544901065449;0.0321417843196155;0.028716645489199492
5;0.0258751902587519;0.028236707720036048;0.02795425667090216
6;0.0365296803652968;0.051667167317512766;0.04955527318932656
7;0.0669710806697108;0.07149294082306999;0.07141041931385006
8;0.0684931506849315;0.060678882547311505;0.0625158831003812
9;0.0943683409436834;0.10303394412736558;0.10266836086404066
10;0.1050228310502283;0.09221988585160709;0.09529860228716645
11;0.0715372907153729;0.07059176930009012;0.07141041931385006
12;0.0289193302891933;0.0264343646740763;0.026937738246505718
13;0.0410958904109589;0.02613397416641634;0.028716645489199492
14;0.0334855403348554;0.0207269450285371;0.022871664548919948
15;0.0517503805175038;0.019525382997897266;0.024904701397712833
16;0.0334855403348554;0.02042655452087714;0.022617534942820837
17;0.0502283105022831;0.01622108741363773;0.02185514612452351
18;0.0380517503805175;0.012916791829378192;0.017026683608640406
19;0.0213089802130898;0.009612496245118654;0.011435832274459974
20;0.0197869101978691;0.008410934214478822;0.010165184243964422
21;0.0121765601217656;0.010513667768098528;0.010673443456162644
22;0.0121765601217656;0.008410934214478822;0.008894536213468869
23;0.0045662100456621;0.009011715229798739;0.008132147395171537
24;0.0045662100456621;0.006608591168519075;0.006099110546378653
25;0.0121765601217656;0.007810153199158907;0.008386277001270648
26;0.0106544901065449;0.0054070291378792434;0.006099110546378653
27;0.0091324200913242;0.004806248122559327;0.005336721728081322
28;0.0015220700152207;0.004806248122559327;0.004066073697585769
29;0.0015220700152207;0.0021027335536197055;0.0017789072426937739
30;0.0045662100456621;0.0018023430459597476;0.0020330368487928843
31;0.0030441400304414;0.0030039050765995794;0.0027954256670902162
32;0.0060882800608828;0.0030039050765995794;0.003303684879288437
33;0.0030441400304414;0.003604686091919495;0.003303684879288437
34;0.0015220700152207;0.0012015620306398318;0.0010165184243964421
35;0.0060882800608828;0.0021027335536197055;0.0025412960609911056
36;0.0030441400304414;6.007810153199159E-4;7.623888182973316E-4
37;0.0015220700152207;9.011715229798738E-4;7.623888182973316E-4
38;0.0015220700152207;0.0021027335536197055;0.0017789072426937739
39;0.0015220700152207;9.011715229798738E-4;7.623888182973316E-4
40;0.0015220700152207;6.007810153199159E-4;5.082592121982211E-4
41;0.0015220700152207;0.0012015620306398318;0.0010165184243964421
45;0.0015220700152207;9.011715229798738E-4;7.623888182973316E-4
47;0.0015220700152207;6.007810153199159E-4;5.082592121982211E-4
48;0.0015220700152207;6.007810153199159E-4;5.082592121982211E-4
53;0.0015220700152207;9.011715229798738E-4;7.623888182973316E-4
55;0.0015220700152207;9.011715229798738E-4;7.623888182973316E-4
57;0.0015220700152207;6.007810153199159E-4;5.082592121982211E-4
59;0.0015220700152207;6.007810153199159E-4;5.082592121982211E-4
62;0.0015220700152207;9.011715229798738E-4;7.623888182973316E-4
72;0.0015220700152207;6.007810153199159E-4;5.082592121982211E-4
74;0.0015220700152207;6.007810153199159E-4;5.082592121982211E-4
